Is Fraudulent,Transaction ID,Customer ID,IP Address,Shipping Address,Billing Address,Transaction Amount,Transaction Date,Payment Method,Product Category,Quantity,Customer Age,Device Used,Account Age Days,Transaction Hour,Customer Location
0,7eb3b9ad-c965-4c49-a7c7-aa70adfbdd7b,9596e1a0-1da2-409e-b6c2-79dde00b8bd3,27.27.70.239,"7577 Sean Neck Suite 830
South Nicholas, TN 04622","7577 Sean Neck Suite 830
South Nicholas, TN 04622",217.80,2024-02-19 03:07:02,PayPal,electronics,2,33,mobile,37,3,Lake Adamborough
0,dc24fbea-d48f-4679-929c-07e3576b10a1,b9553882-f9d3-41b5-8cf5-2e99e958ea50,126.252.35.198,"7194 Carroll Curve
Lake Christophermouth, MA 23749","7194 Carroll Curve
Lake Christophermouth, MA 23749",80.97,2024-02-17 03:11:42,debit card,electronics,5,40,mobile,157,3,South Sylvia
0,7330abc5-58d3-4ee8-a39a-a3e376f36766,2acd1a7b-d48b-4623-a2a3-adfb1801917a,148.135.77.21,"980 King Island Apt. 557
Stevensview, AZ 76025","980 King Island Apt. 557
Stevensview, AZ 76025",241.83,2024-03-15 13:32:12,debit card,home & garden,4,38,tablet,202,13,South Jennifer
0,57b8c071-9c59-4900-be2b-898b006a4105,da9e6b65-ef17-4175-90ca-a24814e46f04,110.115.13.6,"21932 Mark Greens Suite 152
North Julie, PW 16126","21932 Mark Greens Suite 152
North Julie, PW 16126",283.27,2024-02-29 19:15:54,PayPal,health & beauty,4,38,tablet,107,19,East Richard
0,d9b911ea-3517-4b6b-bed4-0ebfcd71c8ab,a41e433c-8a7d-4459-a544-4bb2bba70979,65.63.212.228,"37014 Joan Rapids Suite 794
Davidshire, AK 56241","37014 Joan Rapids Suite 794
Davidshire, AK 56241",81.12,2024-02-14 11:36:57,debit card,toys & games,4,28,desktop,294,11,New Andrewside
0,c5a4ba41-51b8-4ce8-9d68-1ca852ff26af,b2ce9253-2e34-4b78-9a6f-d3b5c673a393,172.125.89.76,"93107 Obrien Wall Apt. 437
Mejiastad, MA 63571","1075 Hill Way Suite 539
Port Antonioside, OK 51467",301.63,2024-02-13 13:03:02,PayPal,health & beauty,2,31,tablet,206,13,Lake Brianville
0,dc68567d-7361-4c6e-89f0-cbfbdfecae80,e021b442-b435-4feb-8107-0e7b81e3d66e,211.216.203.186,"67247 Elizabeth Motorway
Greenport, IN 77167","67247 Elizabeth Motorway
Greenport, IN 77167",31.71,2024-01-18 11:40:22,PayPal,electronics,4,37,tablet,130,11,North Wendy
0,001ec7ac-ab13-403c-b904-c92605a4504d,3c43ff22-da86-4497-8716-7b9ee58d6a48,128.36.161.208,"09273 Marcus Islands
Jacksonton, UT 37470","09273 Marcus Islands
Jacksonton, UT 37470",201.17,2024-01-05 09:22:00,debit card,clothing,5,42,mobile,2,9,East Evanport
0,3d3626b3-2c11-4538-9bdf-4ed9547fd384,f0041527-b051-4222-800a-86d4069e2e11,15.132.177.234,"797 Jones Fork
Stevensburgh, DC 39191","797 Jones Fork
Stevensburgh, DC 39191",50.82,2024-01-02 14:50:05,PayPal,health & beauty,4,58,tablet,191,14,South Christopherhaven
0,c474cbff-3cba-45fe-b1f6-a2dabacbc09d,d7e20ddf-1368-4d7e-a27b-f97ceb7b8956,58.147.89.73,"481 Stephanie Shoal
Cuevasborough, SC 28089","481 Stephanie Shoal
Cuevasborough, SC 28089",25.46,2024-02-16 17:31:10,bank transfer,home & garden,5,51,desktop,91,17,Wintersfort
0,416fdfea-c829-43df-8b91-23fdf31dcdab,fe29e15d-3d19-4026-8f21-5648162bdd6c,159.102.55.84,"566 Tommy Greens Apt. 285
Orozcomouth, NH 61794","566 Tommy Greens Apt. 285
Orozcomouth, NH 61794",259.98,2024-02-09 06:13:57,credit card,health & beauty,5,41,mobile,148,6,Dennisside
0,ddcc678f-d167-400c-8143-3e356f43e691,d92e7d08-1316-458b-9291-11b0a8a6c521,202.215.169.246,"642 Bailey Ports Suite 510
East Zoechester, MT 32416","696 Miller Circle Apt. 719
North Samantha, VI 67880",770.48,2024-03-25 03:21:49,PayPal,health & beauty,1,29,desktop,243,3,East Carlos
0,90c71975-7148-496a-8809-505d85df0467,ce3f6f94-e911-4110-83e1-47c59ac634af,215.67.227.76,"Unit 9882 Box 6186
DPO AP 15272","Unit 9882 Box 6186
DPO AP 15272",189.19,2024-03-11 06:49:28,credit card,electronics,2,41,mobile,212,6,Lake Samuelmouth
0,dc2a52b2-b023-4a4c-9a7f-73d7faddddaa,947971a5-2cc9-48b4-9338-65e76380b95a,223.2.202.129,"025 Katherine Lake Apt. 191
Port Deannaport, PR 89531","025 Katherine Lake Apt. 191
Port Deannaport, PR 89531",350.48,2024-03-30 11:29:45,debit card,toys & games,4,29,desktop,344,11,East Christinefurt
0,52711b54-e62f-4325-adb7-b6666ad1a5db,17beb08d-7f1b-44b1-a115-836d70486830,140.74.239.169,"PSC 9684, Box 0023
APO AP 94211","PSC 9684, Box 0023
APO AP 94211",56.78,2024-01-31 00:33:46,debit card,home & garden,4,23,desktop,161,0,Lake Michael
0,b19defdf-480d-4ddd-8c66-e31fb2390b6e,81500062-7f07-4908-bb72-94b5ed8a7122,53.104.197.90,"92307 April Cove
East Donnaland, OR 50828","92307 April Cove
East Donnaland, OR 50828",104.96,2024-01-13 21:20:48,bank transfer,home & garden,5,15,desktop,360,21,Port Shannonfurt
0,c9262b87-8570-4473-a138-35b4ebb0b93f,e30aa457-98ef-48f4-88b7-350dd127a111,26.102.217.7,"742 Kevin Roads
Jerryfurt, MD 89771","742 Kevin Roads
Jerryfurt, MD 89771",206.73,2024-02-11 05:56:19,PayPal,electronics,3,33,tablet,275,5,Herringburgh
0,1c31670e-3ba7-4b55-bec1-2a2e8615c81a,846c5805-0de5-4eee-8d15-cc1a59f6d01a,68.206.236.106,"Unit 4637 Box 7367
DPO AP 20929","02806 Brian Trail
Port Christopher, FL 97354",45.74,2024-02-04 16:47:22,credit card,health & beauty,5,29,desktop,74,16,Port Jackville
0,f859b8cf-7da5-4487-b360-c5fc91036544,424db550-597e-48ca-b375-a13ca76083c7,101.102.66.91,"80452 Williams Springs
Gravesberg, PA 15551","59952 Sean Cliff Suite 714
East Kaitlinstad, AS 72395",52.13,2024-01-09 17:03:34,debit card,clothing,1,24,tablet,12,17,New Sethmouth
0,991d9323-9b36-480f-9d22-73c2dc3c1276,7423563a-0b5c-4cb1-b558-ac33929152aa,90.151.96.211,"Unit 4762 Box 6471
DPO AE 55715","Unit 4762 Box 6471
DPO AE 55715",216.03,2024-02-05 22:58:42,credit card,home & garden,2,32,mobile,207,22,Smithstad
0,2e2cb9c7-e603-4fd1-849f-b959a21f30fd,85f8899f-54a2-4f2c-bf3f-12ec8b645bd4,179.39.236.74,"9021 Sullivan Cliff
Port Holly, UT 62137","Unit 2753 Box 3968
DPO AA 47288",101.91,2024-01-09 02:31:09,bank transfer,electronics,3,36,mobile,352,2,North Sylviaborough
0,efeb40d2-4161-4c19-85a7-fc6043b6a04b,5a081bc4-0d83-4b5c-9b82-9fa8d1fa93d1,58.43.237.178,"8274 Flores Courts Suite 440
Gailhaven, SD 33387","8274 Flores Courts Suite 440
Gailhaven, SD 33387",189.60,2024-02-05 00:10:16,credit card,toys & games,3,42,desktop,188,0,Sherryport
0,f63e7143-83c0-4de7-8486-b5b88d198fd9,32eb604c-ad3a-4ddb-ab45-210045526c1a,58.138.213.110,"110 Ashlee Mountains
North Michelle, AZ 72026","110 Ashlee Mountains
North Michelle, AZ 72026",172.53,2024-01-07 07:30:40,PayPal,clothing,3,29,mobile,74,7,Bensonport
0,47a50589-82b9-43c1-ac3e-015d6bf3eb0a,7322aecd-7588-4fa3-bfc5-a2e3bc1ac918,139.141.32.103,"3648 Jordan Lake
Teresaburgh, WV 65356","3648 Jordan Lake
Teresaburgh, WV 65356",36.73,2024-01-05 12:19:09,credit card,electronics,2,31,desktop,267,12,North Dennis
0,bd3ed851-aaf6-4ad3-9434-8719795c3f6f,014bdbb9-66cc-4d5f-b9d9-e279598acf8b,108.194.131.71,"290 Christopher Vista
Scottview, AS 76144","290 Christopher Vista
Scottview, AS 76144",353.78,2024-02-27 19:08:15,credit card,electronics,2,32,desktop,183,19,East Abigail
0,8fa3802a-c8ec-40dc-a879-e594feee0fed,b3209c96-8539-4a70-8817-f031aec5f182,126.101.204.207,"21751 Michael Neck
Ericport, WY 69559","21751 Michael Neck
Ericport, WY 69559",57.15,2024-03-14 21:12:59,debit card,health & beauty,2,41,desktop,319,21,Andersonland
0,9baf2126-ca29-4c64-b57e-23f7d5bb9543,1c908770-70d2-4140-b0ce-df8d00c5d669,169.73.38.183,"70637 Rodriguez Manor Apt. 030
Fitzpatrickton, GU 41540","70637 Rodriguez Manor Apt. 030
Fitzpatrickton, GU 41540",90.30,2024-02-24 12:16:04,debit card,toys & games,4,30,desktop,272,12,Bellport
0,868b2f05-bc71-4dc2-a8b4-5a96c509e8e3,763cd154-5ec7-48ca-b2fb-9a0bfcff895c,29.39.43.124,"189 Shannon Rapids Suite 456
Port Amy, CA 04295","189 Shannon Rapids Suite 456
Port Amy, CA 04295",333.15,2024-03-27 17:08:28,debit card,toys & games,1,41,mobile,210,17,Christineview
0,068c9042-cfdf-41c8-b94a-9135d2edc3ef,49d27cd8-1a8e-48d2-b284-232bc3a26fc4,148.140.207.20,"33660 Chad Ways Suite 310
Beverlystad, UT 52358","33660 Chad Ways Suite 310
Beverlystad, UT 52358",222.61,2024-03-24 01:38:51,credit card,clothing,5,42,desktop,197,1,East Nicolemouth
0,f2fcbf73-291e-4a42-9816-5964e5d348ef,e6587f15-5969-4cb8-9371-1b8e47f7e7bb,72.75.114.172,"0344 Thompson Street Suite 709
North Corey, MS 30467","0344 Thompson Street Suite 709
North Corey, MS 30467",656.98,2024-03-09 22:30:19,debit card,health & beauty,5,33,mobile,92,22,North Melvinfort
0,6319434a-059b-4724-b050-2fae0b7ab853,8342ab83-4011-4e33-acdc-fd7595cf4d4f,65.37.150.249,"9235 Courtney Court Apt. 125
Leblancborough, UT 62390","9235 Courtney Court Apt. 125
Leblancborough, UT 62390",38.59,2024-03-28 01:51:19,credit card,toys & games,5,34,tablet,154,1,Port Jamesmouth
0,16cfb378-bd09-4b47-beef-06bd1d39d583,0d4de078-8bd3-4513-8ae4-2a704505c9b3,194.16.165.149,"916 Derrick Bridge
East Kayla, DE 77470","957 Denise Isle
Lake Carmenmouth, PW 57375",107.36,2024-01-12 04:33:13,bank transfer,home & garden,1,45,mobile,301,4,Lake Jackbury
0,36b95e16-1e4a-40f0-9493-bf8d5d90e952,ea21b4b5-cecf-4cd5-8ae5-bdce776fc035,218.222.4.166,"679 Harrison Plains
Reyeschester, PA 68978","679 Harrison Plains
Reyeschester, PA 68978",22.33,2024-02-27 23:37:38,bank transfer,clothing,1,31,tablet,46,23,West Ericburgh
0,fb9d3c79-7206-40ae-bd04-cf5a5d2ef3aa,2ea262d0-a398-4535-82fb-465f9d5bcbde,171.232.52.180,"5220 Miller Plaza Apt. 366
Gutierrezview, AR 32733","5220 Miller Plaza Apt. 366
Gutierrezview, AR 32733",182.07,2024-03-30 19:40:42,debit card,home & garden,1,25,tablet,214,19,New Ellenton
0,cd08a170-ea8d-4bf4-87ed-04cccdabceea,68fcaad4-1875-4fad-873b-a252d9f491ff,98.134.56.66,"858 Sarah Ridge
Johnland, FM 43964","858 Sarah Ridge
Johnland, FM 43964",21.54,2024-03-02 23:49:35,bank transfer,home & garden,5,31,tablet,106,23,Lake Edward
0,73d6e209-96e3-4b34-9e78-f315e742b3d5,f911b9d9-93de-403f-a74e-a2cb0ba40331,64.221.115.133,"029 Yvonne Drives Suite 721
Baileyhaven, WI 05186","029 Yvonne Drives Suite 721
Baileyhaven, WI 05186",17.42,2024-01-24 19:43:35,PayPal,electronics,3,36,mobile,85,19,Watkinsville
0,4c37e653-bb1d-4720-a803-63e778925fcc,2fb1590f-f861-43d3-922c-60d5ad8a3209,5.167.59.46,"600 David Fields
Williamsville, AS 17825","600 David Fields
Williamsville, AS 17825",485.75,2024-02-23 21:51:26,debit card,electronics,2,30,mobile,255,21,Evansfort
0,90321ee4-3a4a-4a39-aa1d-f287703715af,8885fa70-061c-4954-b168-75ca0217ac64,167.215.69.253,"89130 Wright Coves Suite 228
Lake Ian, NY 10811","89130 Wright Coves Suite 228
Lake Ian, NY 10811",47.75,2024-03-17 05:16:47,debit card,health & beauty,5,24,tablet,152,5,Bellfort
0,a24bcd75-c570-41bb-aad7-4534a2d93e5a,407fc7e0-5343-4a9d-8a90-a1bba95a5a8a,108.157.28.151,"Unit 2190 Box 6584
DPO AP 52610","Unit 2190 Box 6584
DPO AP 52610",616.41,2024-02-26 22:59:01,PayPal,health & beauty,4,34,desktop,276,22,Teresatown
0,448e73f8-2cf7-45d1-8a2b-8af154d0eaf2,e6a0ce60-89ac-4f2f-b56d-4e5a7da6951c,198.194.232.180,"111 Diana Dam Apt. 235
Jessicaborough, MT 32304","13127 Cody Highway Suite 509
East Jennifer, RI 99577",287.77,2024-01-24 08:13:42,PayPal,toys & games,1,30,desktop,26,8,Lake Holly
0,a352af70-3d30-4f00-983a-20c60441dfe6,14b2e3d3-99be-45e0-b511-2b212adcb102,186.35.89.198,"405 Jensen Path Suite 712
Rodriguezview, WV 10774","405 Jensen Path Suite 712
Rodriguezview, WV 10774",12.34,2024-02-08 12:27:39,credit card,home & garden,4,37,tablet,215,12,Jacksonborough
0,708483d7-43cb-4dbd-b7ad-9f8bf9dbecc8,4635d740-aa7b-40d4-a452-15e322e821de,49.38.84.1,"54132 Lisa Port Apt. 779
East Anna, ME 24283","54132 Lisa Port Apt. 779
East Anna, ME 24283",558.99,2024-02-29 23:34:12,debit card,clothing,2,22,desktop,8,23,Milesville
0,7fd37f1d-fd05-4f62-9b63-5e3942ed328e,6a4524d1-b303-4698-9ecc-d01b9d1f7ce6,29.127.59.34,"2733 Ernest Stravenue Suite 060
Davisland, IA 20602","2733 Ernest Stravenue Suite 060
Davisland, IA 20602",373.64,2024-03-02 01:56:20,debit card,toys & games,2,47,desktop,44,1,South Haileymouth
0,23e66c5d-8287-43b2-b10a-da0c3020ec90,90e03d58-aea6-4d2d-9874-592a2d0e4c77,59.163.103.219,"4060 Carla Mountains
Greenburgh, MA 90314","4060 Carla Mountains
Greenburgh, MA 90314",269.09,2024-03-20 06:54:12,credit card,home & garden,3,50,mobile,229,6,New Frances
0,d86e727f-94ae-46d4-9124-be7694a5507f,b21d702b-0514-45ff-b548-f158efd0212b,53.76.166.177,"854 Alison Locks Suite 561
Kevinville, NE 23906","854 Alison Locks Suite 561
Kevinville, NE 23906",50.46,2024-01-21 20:04:45,debit card,clothing,1,39,desktop,42,20,South Joseph
0,1395c150-4643-415c-9ae1-6ca0fe6e6761,3101c5c8-a7d1-43ce-8ccc-c45a8777fecf,168.33.213.180,"6093 Perez Crescent
Medinaside, WY 65146","6093 Perez Crescent
Medinaside, WY 65146",458.71,2024-03-18 10:26:12,PayPal,health & beauty,5,31,tablet,53,10,South Jacquelineville
0,452c2019-0ab1-46f9-8461-92372edc0837,c2e94202-1b78-4e03-816e-b0c7c8282ce6,178.171.39.221,"6513 Pope Rapids
Andrewton, WV 42767","6513 Pope Rapids
Andrewton, WV 42767",346.25,2024-03-08 11:15:45,debit card,electronics,1,23,mobile,9,11,South Ashley
1,be6c731d-19b9-4ba3-8faf-4aec578897c7,bcbfce99-0db1-4e51-90ff-aedf463367af,84.206.139.40,"12984 Victoria Unions
Port Tiffanyfort, WV 13530","12984 Victoria Unions
Port Tiffanyfort, WV 13530",165.01,2024-03-13 03:23:22,bank transfer,home & garden,4,32,mobile,355,5,Port Robin
1,c9a0d042-3ab0-4e2b-8eeb-39a469ef62da,35b34fc2-6286-4b8c-83b3-c2a0b57ec1c6,192.203.22.41,"PSC 3467, Box 4436
APO AA 24695","PSC 3467, Box 4436
APO AA 24695",1576.00,2024-01-08 18:17:42,credit card,electronics,5,58,tablet,324,18,West Williamstad
0,1efcb2b3-0987-49b0-b647-c9b9b470f938,a0968dd1-60cd-4e0c-8719-94544c827866,97.112.173.107,"55671 Smith Locks Suite 034
Lake Michael, KS 72243","55671 Smith Locks Suite 034
Lake Michael, KS 72243",284.30,2024-03-23 06:06:09,debit card,toys & games,2,18,desktop,151,6,Lake Olivia
0,81de5634-0b6e-41a8-8ea7-f0a2ea76f664,172779ce-f21d-4857-8f0d-6b1da9006808,213.102.116.176,"Unit 4246 Box 0899
DPO AP 72856","Unit 4246 Box 0899
DPO AP 72856",116.20,2024-03-30 21:50:31,bank transfer,health & beauty,2,28,desktop,86,21,South Karenbury
0,2e74cf40-415c-4c51-826a-5494a5932566,c7a28a23-4455-43fb-9142-6e3bc3cb4a87,182.125.153.133,"2512 Megan Motorway
Karenstad, DE 51283","2512 Megan Motorway
Karenstad, DE 51283",87.91,2024-03-03 19:33:44,bank transfer,toys & games,3,21,desktop,179,19,Lake Brianshire
0,01e2cece-de59-43bf-9932-8bee7418ad21,4666552a-1372-4c28-95a3-4c9fb5933c08,75.233.199.3,"472 Stacy Oval
Johnburgh, MP 20833","472 Stacy Oval
Johnburgh, MP 20833",77.91,2024-01-08 00:45:27,bank transfer,clothing,4,37,tablet,99,0,Lake Holly
0,638e00ab-4589-4381-9d61-96c19f9a15c8,7274b931-1089-469b-972d-46ca2f15ad3e,219.53.254.209,"968 Thompson Fords
Craigborough, OH 23856","968 Thompson Fords
Craigborough, OH 23856",74.02,2024-02-13 02:11:53,bank transfer,home & garden,5,45,tablet,148,2,Kerrichester
1,76c8bce1-9df3-41b3-bdda-ec51605a8c13,8b559794-2c7f-48f8-889d-ec49c4aff950,71.227.69.156,"6273 Brenda Glen
West Lisastad, AL 91613","6273 Brenda Glen
West Lisastad, AL 91613",10.08,2024-02-21 15:42:42,credit card,clothing,4,30,tablet,23,1,South Jamieburgh
0,778b35e5-c2a6-4c4a-81d6-a6a032b85ee5,4e5aaa0d-c5e3-4142-a296-52b851e4f948,164.7.214.152,"348 Gabriel Streets Apt. 621
Terrellstad, WI 20924","348 Gabriel Streets Apt. 621
Terrellstad, WI 20924",24.07,2024-02-26 15:04:00,PayPal,clothing,5,35,tablet,235,15,South Brooke
0,57d4de14-e866-45a9-9dba-599162c59030,59e36e2f-0231-4008-ad9e-cb48427ef916,222.84.90.85,"287 Jeanette Estate
Port Sonya, VI 37506","287 Jeanette Estate
Port Sonya, VI 37506",150.63,2024-04-01 16:00:09,credit card,home & garden,5,35,desktop,189,16,Mccormickfort
0,62aacd12-54fa-4034-8a87-57771b5647c3,4de8116e-50e8-4b9c-ba8a-adc54b99f381,32.99.27.66,"Unit 4819 Box 8161
DPO AA 18420","Unit 4819 Box 8161
DPO AA 18420",10.16,2024-03-21 04:19:58,debit card,clothing,1,55,mobile,229,4,New Debbiehaven
0,d455f3b5-5be4-4c04-9dbb-64a8cee89644,3b04cada-93ad-4ef2-a204-019427163188,50.91.86.111,"PSC 9767, Box 6893
APO AE 53353","PSC 9767, Box 6893
APO AE 53353",198.02,2024-01-02 04:00:27,bank transfer,toys & games,3,36,desktop,161,4,North Jeffreyhaven
0,28584c61-6bed-4fb0-a760-81bc0f427d16,fa83edde-c3e4-41e3-b58b-fa9bc6f9c113,195.40.218.212,"025 Nathan Dale Apt. 652
Nicolebury, HI 13033","025 Nathan Dale Apt. 652
Nicolebury, HI 13033",66.62,2024-02-24 04:57:04,debit card,toys & games,2,38,tablet,119,4,East Katelyn
1,3e4f6387-5d52-4115-a084-2598602df9ea,3342b388-86ee-4fbe-8056-350ed7bfb321,120.168.3.201,"3129 Lori Heights
New Rachel, PR 54872","3129 Lori Heights
New Rachel, PR 54872",1051.75,2024-01-17 00:49:50,debit card,electronics,1,56,mobile,261,0,Craigchester
0,39af725f-4231-405c-8ba0-67282e8f8afc,7e2e6eb3-4311-400f-a56c-de9ae4595746,27.41.247.215,"02033 Hernandez Crescent Suite 830
Amandaport, WV 28496","02033 Hernandez Crescent Suite 830
Amandaport, WV 28496",87.32,2024-01-07 03:09:09,PayPal,electronics,3,47,desktop,216,3,Garybury
0,aad8df96-0509-48c6-9f26-40ffe6553044,4bb5a6c5-3003-4757-8768-c8413dd3e456,113.87.245.107,"9664 Frank Groves
South Jennifer, TN 86300","9664 Frank Groves
South Jennifer, TN 86300",110.12,2024-01-09 10:09:15,debit card,clothing,5,15,tablet,287,10,Colemanchester
0,40923fe8-2d75-4afb-8e2b-2bc7d1c60151,bc9069e4-d4b4-47e3-b023-f9348dd34bc2,48.198.174.160,"6572 Davis Vista
Jordanberg, AL 84506","6572 Davis Vista
Jordanberg, AL 84506",133.96,2024-02-06 08:11:52,PayPal,health & beauty,1,19,tablet,365,8,Terriberg
0,bab4abbe-99ef-4b79-9641-09552001fd24,9e7a8b72-7a8a-4439-8b2c-8402a80207e2,211.218.43.48,"6701 Miller Prairie Suite 461
Bradyview, PR 79631","6701 Miller Prairie Suite 461
Bradyview, PR 79631",47.97,2024-01-22 04:37:47,credit card,toys & games,3,45,desktop,181,4,Port Gracestad
1,69050db2-971e-4220-b51e-d0017a735a7c,c4687203-5bae-4a27-8d13-a836451d7234,19.84.5.130,"7226 Gonzalez Mountains
North Christopher, NC 49139","7226 Gonzalez Mountains
North Christopher, NC 49139",29.72,2024-01-25 14:10:53,PayPal,home & garden,5,32,mobile,121,1,Joshuastad
